developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
Messy Desk Interactive,1,90.3,350000.0,4296,0.35
Meta Fork,1,84.1,1500000.0,700,1.5
Meta Interaction,1,89.4,750000.0,1966,0.75
Metal Head Games,1,92.8,350000.0,4408,0.35
MetalStar Studio,1,90.1,150000.0,6027,0.15
Metalhead Software Inc.,3,90.1,650000.0,5584,0.65
Metamorphosis Games,1,80.3,75000.0,9792,0.08
Metanet Software Inc.,1,93.7,350000.0,3230,0.35
Metaware,1,67.7,75000.0,9741,0.08
Metropolis,1,62.2,350000.0,4959,0.35
Metropolis Software,1,79.7,350000.0,4293,0.35
Mi'pu'mi Games GmbH,1,92.4,350000.0,3609,0.35
"Mi-Clos Studio, FibreTigre",1,75.4,350000.0,4028,0.35
Micah Boursier,1,95.3,350000.0,3320,0.35
"Michael Kissinger, Marco Hulden, Shaun Egan, Joshua Marks, Denys Ovsiannykov",1,76.6,150000.0,6613,0.15
"Michael Pelletier, Ross Joseph Gardner",1,87.5,350000.0,4404,0.35
Michael Rfdshir,1,93.5,75000.0,9533,0.08
Michael Todd Games,1,89.9,150000.0,5815,0.15
Michael Zahniser,1,92.3,1500000.0,1408,1.5
MichaelArts,1,94.2,150000.0,9166,0.15
Michaela Laws,1,86.7,350000.0,4438,0.35
Michele Pirovano,1,95.5,150000.0,7366,0.15
Micro Factory Games,1,46.2,150000.0,8245,0.15
"MicroProse Software, Inc",5,77.2,3100000.0,1018,3.1
Microbird Games,1,94.7,150000.0,8419,0.15
Microblast Games,5,65.3,6450000.0,530,6.45
Microids,5,70.4,2350000.0,1455,2.35
Microids Studio Paris,2,82.4,700000.0,2770,0.7
Microsoft Game Studios,1,86.4,3500000.0,613,3.5
Microwave Studios,1,95.8,150000.0,8309,0.15
"MidBoss, LLC.",1,79.6,350000.0,5040,0.35
Midgar Studio,1,71.3,350000.0,5123,0.35
"Midgar Studio, Fusty Game",1,80.3,750000.0,2634,0.75
Midhard Games,1,68.8,350000.0,4835,0.35
Midjiwan AB,1,93.9,750000.0,1885,0.75
Midnight Party,1,84.0,150000.0,6346,0.15
Might and Delight,6,77.9,2700000.0,2168,2.7
Mighty Coconut,1,97.9,150000.0,5787,0.15
Mighty Games,1,91.7,350000.0,3700,0.35
Mighty Kingdom,1,60.5,350000.0,5365,0.35
Mighty Rabbit Studios,1,76.6,150000.0,8812,0.15
"Mighty Rabbit Studios, Gun Interactive",1,82.5,350000.0,3452,0.35
"Mighty Rabbit Studios, Gun Media",1,54.2,150000.0,7503,0.15
Mighty Rocket Studio,1,84.3,350000.0,5609,0.35
Mihai Morosanu,5,63.6,2150000.0,1641,2.15
Miju Games,1,96.0,1500000.0,894,1.5
Mike Klubnika,1,96.0,3500000.0,545,3.5
"Mikeypoo's Games, Roger Levy",1,41.3,150000.0,9139,0.15
Mikhail Maksimov,1,45.2,750000.0,1870,0.75
"Milan Kazarka, Jeroen van Oosten",1,70.1,150000.0,6245,0.15
"Miles Peter Hatcliff, Harrison Truman, Michelle Lee, Helayna Strohfeldt, Zachary Paternoster, Samuel Weir, Will Thompson",1,86.9,150000.0,7463,0.15
Milestone S.r.l.,18,82.5,4425000.0,1988,4.42
Milkbar Lads,1,94.8,350000.0,2959,0.35
Milkstone Studios,6,86.1,2650000.0,956,2.65
Milky Tea Studios,2,77.9,225000.0,8418,0.22
Milpitians,1,93.4,150000.0,6433,0.15
Mimimi Games,5,91.9,3500000.0,859,3.5
MinMax Games Ltd.,3,87.0,1450000.0,2386,1.45
Mind Control Games,1,88.3,150000.0,7517,0.15
Mind Over Matter Studios,1,60.7,150000.0,8488,0.15
Mindillusion,1,66.3,350000.0,3520,0.35
Mindware Studios,1,71.9,150000.0,7156,0.15
"Mine Loader Software Co., Ltd.",1,95.5,350000.0,3241,0.35
MiniBoss,1,93.0,350000.0,3252,0.35
MiniWhale,1,88.7,150000.0,9027,0.15
Minimol Games,1,94.3,75000.0,9392,0.08
Mino Games,1,86.7,150000.0,8377,0.15
Minor Key Games,2,90.4,700000.0,3253,0.7
Minskworks,1,76.7,350000.0,4861,0.35
Mint Age Studios,2,41.4,1500000.0,2077,1.5
Mirage Creative Lab,1,87.8,1500000.0,1306,1.5
Mirage Game Studios,1,83.6,350000.0,4341,0.35
Mirillis,1,85.8,350000.0,5127,0.35
Misc Games,3,74.5,1250000.0,2642,1.25
Misfits Attic,2,73.2,500000.0,3546,0.5
"Mismatch Studio, Nicky Case (Originally)",1,96.2,350000.0,4711,0.35
Mister Morris Games,2,93.3,500000.0,2727,0.5
MistyMountainStudio,1,96.3,350000.0,3336,0.35
Mithis Games,1,86.0,150000.0,8211,0.15
"Mitridan, Arakuma Studio",1,90.7,75000.0,9532,0.08
Mitzi Games,1,96.2,150000.0,8400,0.15
Mixamo,1,65.3,150000.0,6563,0.15
"Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd",2,87.1,500000.0,4575,0.5
Mixel,1,61.1,150000.0,7903,0.15
Miziziziz,2,91.3,500000.0,4216,0.5
Mob Entertainment,1,85.0,7500000.0,230,7.5
Mobile Co Studios,1,78.8,150000.0,7733,0.15
MobileBits,1,41.0,350000.0,4463,0.35
Mobius Digital,1,95.7,1500000.0,839,1.5
Mode 7,1,82.8,750000.0,2143,0.75
Modern Dream,1,87.6,350000.0,3354,0.35
Modern Storyteller,1,96.1,750000.0,2338,0.75
"Modern Visual Arts Laboratory, SEO INSEOK",1,95.1,350000.0,5396,0.35
MoeGame,1,74.6,150000.0,8283,0.15
MoeNovel,1,92.3,150000.0,9145,0.15
Moehaus Co. Ltd,1,72.7,750000.0,2513,0.75
MogDogBlog Productions,1,97.6,350000.0,4648,0.35
Mohawk Games,2,79.6,500000.0,3538,0.5
Mojang,1,64.4,350000.0,3424,0.35
"Mojang Studios, Blackbird Interactive",1,58.4,350000.0,4430,0.35
"Mojang Studios, ‪Double Eleven",1,91.2,1500000.0,1111,1.5
Mojiken,4,94.2,800000.0,4623,0.8
"MojoTouch, Trilobyte Games",1,79.0,150000.0,8854,0.15
Mokus,1,79.9,350000.0,4674,0.35
"Mommy's Best Games, Croteam",1,83.0,350000.0,3799,0.35
Monkey-With-a-Bomb,1,84.0,150000.0,9234,0.15
Monkeys Lab.,1,52.6,350000.0,2697,0.35
Monkeys Tales Studio,1,66.4,150000.0,6074,0.15
Mono Studio,1,59.4,350000.0,5142,0.35
"Monochrome, Inc",1,72.7,1500000.0,1211,1.5
Monolith,2,86.1,1100000.0,1687,1.1
Monolith Productions,3,90.9,11150000.0,206,11.15
"Monolith Productions, Inc.",2,87.9,1850000.0,1214,1.85
"Monolith Productions, Inc., Timegate",1,93.7,1500000.0,1131,1.5
Monomi Park,2,96.2,5000000.0,575,5.0
Monothetic LLC,1,86.9,150000.0,7483,0.15
"Monstars Inc., Resonair, Stage Games",1,94.9,750000.0,1565,0.75
Monster Couch,1,94.4,150000.0,6854,0.15
Monster Games,1,81.6,150000.0,7127,0.15
Monster and Monster,1,79.0,350000.0,3871,0.35
Monstrum,1,93.3,150000.0,8174,0.15
MonteBearo,1,79.3,350000.0,5629,0.35
"Monumental, LLC",2,77.8,500000.0,5275,0.5
Moolion,1,82.1,350000.0,5507,0.35
Moon Lagoon,1,98.1,150000.0,7868,0.15
Moon Moose,1,76.3,350000.0,2857,0.35
Moon Studios GmbH,4,91.1,14000000.0,324,14.0
Moonbit,1,93.5,150000.0,7502,0.15
Moonbyte,1,88.1,150000.0,8167,0.15
Mooncube Games,1,97.6,350000.0,4513,0.35
"Moonlab Studio, Sinkhole Studio",1,94.2,150000.0,8015,0.15
Moonlight Mouse,1,82.6,150000.0,6918,0.15
Moonlit Works,1,89.1,350000.0,2987,0.35
Moonrise Interactive,1,83.6,150000.0,7277,0.15
Moonsprout Games,1,97.2,150000.0,6783,0.15
Moose Attack Studios,1,84.4,150000.0,6268,0.15
Moppin,1,96.6,350000.0,2766,0.35
Moral Anxiety Studio,1,94.9,150000.0,6535,0.15
Morbidware,1,81.7,350000.0,5490,0.35
Morning Person Games,1,92.9,150000.0,8971,0.15
Morteshka,3,91.9,650000.0,4081,0.65
"Moss Co., Ltd.",1,83.8,75000.0,9696,0.08
Mossmouth,2,93.9,1650000.0,959,1.65
"Mossmouth, BlitWorks",1,93.1,1500000.0,1063,1.5
Most Wanted Entertainment,1,85.7,150000.0,6731,0.15
Mothership Entertainment LLC,1,72.8,150000.0,6041,0.15
Motiga Inc.,1,76.9,1500000.0,719,1.5
Motion Twin,2,93.6,7850000.0,167,7.85
Motive,1,90.7,750000.0,1531,0.75
Motorsport Games,1,72.9,350000.0,3176,0.35
Mouldy Toof Studios,1,90.2,750000.0,1839,0.75
Mountains,1,93.4,350000.0,3478,0.35
Movavi Software,1,79.1,75000.0,9797,0.08
"Move Games Co., Ltd.",1,67.2,1500000.0,735,1.5
Movie Games Lunarium,1,69.2,150000.0,8225,0.15
MovingBlocks,1,79.0,750000.0,2417,0.75
Mr. Podunkian,1,76.8,150000.0,6505,0.15
MrCiastku,1,76.6,150000.0,8119,0.15
MrFatcat,1,81.8,1500000.0,899,1.5
MuHa Games,1,86.2,350000.0,4415,0.35
"MuHa Games, Eerie Forest Studio",2,74.2,425000.0,4436,0.42
Multicast,1,68.5,150000.0,7586,0.15
Mundfish,1,82.0,1500000.0,996,1.5
Murudai,1,91.1,150000.0,6850,0.15
Musa CANDIR,1,95.4,350000.0,4457,0.35
Muse Games,2,88.4,3650000.0,340,3.65
Mutantleg,1,98.0,150000.0,7295,0.15
Mutiny Software,1,65.3,150000.0,8248,0.15
"My Little Planet Ltd, Mucky Foot Productions Ltd",1,89.7,350000.0,2788,0.35
MyACG Studio,2,87.7,500000.0,4405,0.5
MyDockFinder,1,71.8,750000.0,2223,0.75
"MyDreamForever, Tazdraperm",1,78.5,75000.0,9926,0.08
Myco,1,96.4,350000.0,3485,0.35
Mykhail Konokh,1,39.0,150000.0,8392,0.15
Myou,1,82.2,150000.0,8336,0.15
Mystic Box,1,74.3,75000.0,9876,0.08
Mystik'Art,1,48.5,150000.0,7313,0.15
Myth Entertainment,1,64.4,150000.0,6493,0.15
MythicOwl,1,95.9,75000.0,9431,0.08
MythoLogic Interactive,1,89.0,350000.0,4606,0.35
N-Fusion Interactive,1,74.9,350000.0,3910,0.35
N2Games,1,71.4,150000.0,7276,0.15
N3V Games,2,74.6,500000.0,5225,0.5
N4bA,1,89.4,150000.0,7726,0.15
NAMCO,1,58.0,350000.0,3547,0.35
NANOO,1,63.7,750000.0,2607,0.75
NEGAFISH,1,96.2,75000.0,9670,0.08
NEKO WORK H,1,94.8,150000.0,9333,0.15
NEKO WORKs,7,95.7,3450000.0,1672,3.45
"NEOPLE Inc., Arc System Works, EIGHTING Co., Ltd.",1,63.0,350000.0,5537,0.35
NEOPOPCORN Corp,1,72.2,150000.0,8856,0.15
NEOWIZ,3,85.6,3150000.0,1320,3.15
NEOWIZ BLESS STUDIO,1,37.3,1500000.0,943,1.5
NEW STORY GAMES,1,49.8,350000.0,5045,0.35
NEXON Korea Corporation,3,69.7,3750000.0,835,3.75
NEXT Studios,6,88.8,3650000.0,822,3.65
NEZOS GAMES,1,57.4,350000.0,5144,0.35
NGD Studios,1,76.7,750000.0,2256,0.75
NGELGAMES,1,48.7,150000.0,9203,0.15
NIGORO,2,82.6,500000.0,3777,0.5
NIK,1,38.4,350000.0,5657,0.35
NLB project,1,53.7,75000.0,9680,0.08
NMC Studios,1,46.1,150000.0,7093,0.15
NOVECT,1,94.8,150000.0,6882,0.15
NOW PRODUCTION,1,88.0,150000.0,7242,0.15
NPC Studio,1,97.9,750000.0,1934,0.75
NPK Games,1,42.3,150000.0,5737,0.15
NWO Wars Team,1,92.0,150000.0,8500,0.15
Nabi Studios,1,88.5,3500000.0,470,3.5
Nachosama Games,1,85.3,150000.0,6536,0.15
Naddic Games,1,73.1,750000.0,1670,0.75
Nadeo,6,84.3,5250000.0,446,5.25
Naga Entertainment,1,57.0,150000.0,6302,0.15
Naivus Luo,1,69.3,3500000.0,630,3.5
Nanjing AQUATRAX,1,53.2,1500000.0,843,1.5
Nankidai,1,98.6,150000.0,7557,0.15
NanningsGames,1,91.2,350000.0,3472,0.35
Nano Games sp. z o.o.,1,49.3,150000.0,9074,0.15
Nasty Cat,1,79.3,150000.0,7715,0.15
Nathan Meunier,1,71.9,150000.0,9370,0.15
NatsumeAtari,2,89.8,225000.0,6273,0.22
"Naughty Dog LLC, Iron Galaxy Studios",2,84.9,2250000.0,1010,2.25
"Naughty Dog LLC, Nixxes Software, Iron Galaxy Studios",1,90.5,750000.0,2679,0.75
Nauris Amatnieks,1,69.2,150000.0,6666,0.15
Navegante,1,78.2,350000.0,4708,0.35
Nawia Games,2,76.6,225000.0,6695,0.22
Ndemic Creations,2,88.4,1850000.0,685,1.85
Nearga,1,66.7,750000.0,2492,0.75
Neat Corporation,1,80.4,350000.0,2721,0.35
Necrophone Games,1,93.4,350000.0,3239,0.35
Neko Climax Studios,2,96.1,425000.0,3743,0.42
Neko Entertainment,1,73.1,150000.0,7758,0.15
Neko Game,1,86.0,350000.0,5375,0.35
Nekrosoft,1,52.2,75000.0,9712,0.08
Nemo Studios,1,44.0,150000.0,7544,0.15
Neoclassic Games,1,78.4,150000.0,6551,0.15
NeocoreGames,10,74.0,6200000.0,838,6.2
Neognosis,1,94.1,350000.0,4060,0.35
Neomateria Games GmbH,1,80.7,150000.0,7415,0.15
Neon Giant,1,74.0,1500000.0,789,1.5
"Neonovice Co., Ltd., SQUARE PIXELS",1,90.3,350000.0,4671,0.35
Neople,2,75.5,2250000.0,972,2.25
"Neosonyx Co., Ltd.",1,62.0,750000.0,2380,0.75
Nepos Games,1,79.4,150000.0,5825,0.15
Nerdook Productions,2,80.0,500000.0,5615,0.5
Nerial,3,81.6,975000.0,2260,0.98
"Nerial, Synaptic Insight Technology Systems",1,83.3,150000.0,9158,0.15
"Nerve Software, Gearbox Software, LLC",1,84.5,750000.0,2002,0.75
Net Dragon,1,53.5,350000.0,4676,0.35
Net Games Laboratory,1,25.7,350000.0,5063,0.35
NetEase Games,4,69.9,5350000.0,610,5.35
Netcore Games,1,95.1,75000.0,9727,0.08
Netdragon Websoft Inc,1,43.9,150000.0,8097,0.15
Netease Games,1,61.4,350000.0,3755,0.35
"NetherRealm Studios, High Voltage Software",2,88.8,3000000.0,930,3.0
"NetherRealm Studios, QLOC",3,80.5,5750000.0,341,5.75
"NetherRealm Studios, QLOC, Shiver",1,88.1,3500000.0,369,3.5
Netmarble Neo,1,61.8,150000.0,6436,0.15
NetoX,1,85.0,150000.0,8661,0.15
NeuronHaze,1,47.5,150000.0,5892,0.15
Neuronality,1,82.0,150000.0,7348,0.15
Never Knows Best,1,94.9,150000.0,8677,0.15
Neverest Games,1,82.2,150000.0,8038,0.15
Neverjam,1,92.6,750000.0,2268,0.75
Neversoft,1,92.1,350000.0,5175,0.35
New Reality Games,4,54.8,3150000.0,820,3.15
New Star Games,1,69.8,150000.0,6977,0.15
New World Interactive,3,86.4,8500000.0,408,8.5
NewGen,2,76.6,300000.0,6108,0.3
NewWestGames,1,56.4,150000.0,9071,0.15
Nexile,1,90.1,750000.0,1756,0.75
Nexus Game Studios,1,77.9,350000.0,5257,0.35
Nezon Production,2,75.7,500000.0,2995,0.5
"Nicalis, Inc.",1,88.6,350000.0,4403,0.35
"Nicalis, Inc., Edmund McMillen",1,97.3,7500000.0,127,7.5
"Nicalis, Inc., Studio Pixel",1,92.9,350000.0,2718,0.35
Nicholas Rizzo,1,74.1,350000.0,5433,0.35
Nick Kestle,1,90.1,350000.0,4678,0.35
Nifflas' Games,1,84.8,150000.0,8941,0.15
Niffler Ltd.,1,89.5,150000.0,5908,0.15
Night Light Interactive,1,82.2,350000.0,3679,0.35
Night Node,1,83.0,350000.0,3591,0.35
Night Node Software,1,23.4,150000.0,5850,0.15
Night School Studio,3,83.2,1250000.0,2369,1.25
Night Signal Entertainment,1,92.0,350000.0,2966,0.35
Nightbinder,2,64.5,700000.0,4260,0.7
Nightdive Studios,1,91.2,750000.0,2378,0.75
"Nightdive Studios, Acclaim Studios Teesside",1,94.0,350000.0,4621,0.35
"Nightdive Studios, Irrational Games, Looking Glass Studios",2,94.2,1100000.0,1933,1.1
"Nightdive Studios, Lobotomy Software",1,90.0,150000.0,7675,0.15
"Nightdive Studios, Monolith Productions",1,95.7,750000.0,1597,0.75
"Nightdive Studios, Westwood Studios",1,72.8,350000.0,3948,0.35
Nightstuff Games,1,78.8,150000.0,7357,0.15
Nihon Falcom,11,91.4,3050000.0,2659,3.05
"Nihon Falcom, Engine Software BV, PH3 GmbH",1,92.1,150000.0,9299,0.15
"Nihon Falcom, Mastiff",1,91.5,150000.0,6473,0.15
Nikita,1,72.1,150000.0,9341,0.15
Nikita Igorevich Studio,1,78.7,75000.0,9379,0.08
Nikita Kryukov,2,96.8,1500000.0,2439,1.5
"Nikita Markin, Artem Basko",1,64.9,75000.0,9796,0.08
Nikita Sozidar,1,94.4,350000.0,3283,0.35
Nikk F.,1,71.0,350000.0,4766,0.35
Nikola Todorovic,1,95.7,350000.0,4646,0.35
Nikolai Usachev,1,88.0,150000.0,8948,0.15
Nils Jakrins,1,80.7,750000.0,1736,0.75
Nimble Giant Entertainment,5,61.5,1550000.0,2983,1.55
Nimble Neuron,3,77.8,8600000.0,174,8.6
Nimble Tools,1,87.5,150000.0,9151,0.15
Nimbly Games,1,91.9,350000.0,5469,0.35
"Nina Demirjian, Sean Park, Sean Porio",1,96.2,150000.0,6234,0.15
"Nina Freeman, Emmett Butler, Decky Coss, Joni Kittaka",1,84.6,150000.0,6824,0.15
Nine Dots Studio,1,72.9,1500000.0,970,1.5
Nine Rocks Games,1,79.4,350000.0,2984,0.35
"Ninetail, Dualtail",1,93.7,150000.0,7595,0.15
Ninja Kiwi,8,88.0,8450000.0,231,8.45
Ninja Theory,5,84.4,6050000.0,486,6.05
Ninth Exodus,1,90.8,350000.0,3769,0.35
"Nippon Ichi Software, Inc.",4,85.9,1400000.0,2056,1.4
"Nippon Ichi Software, Inc., PH3 GmbH",1,85.3,150000.0,9149,0.15
"Nippon Ichi Software, Inc., Systemsoft beta, Inc.",1,81.1,150000.0,7431,0.15
Nitro Games,2,52.4,300000.0,5761,0.3
Nitroplus,2,93.4,500000.0,4798,0.5
Nival,12,74.3,5550000.0,1158,5.55
No Brakes Games,1,94.7,15000000.0,72,15.0
No Ceiling Games,1,93.9,350000.0,4987,0.35
No Code,2,82.8,500000.0,3508,0.5
No Matter Studios,1,81.2,150000.0,6524,0.15
No Moon,1,84.9,350000.0,3663,0.35
No More Room in Hell Team,1,89.9,7500000.0,107,7.5
No Stuck Game Studio,1,72.2,350000.0,2816,0.35
NoClip,1,93.1,350000.0,3418,0.35
NoGlyph Games,1,68.4,150000.0,6732,0.15
"Noah System, Mgame",1,50.4,3500000.0,646,3.5
Noble Empire Corp.,1,84.1,3500000.0,376,3.5
Noble Master LLC,2,81.2,1100000.0,2359,1.1
Noble Muffins,4,79.6,1950000.0,758,1.95
Noclip,1,85.6,350000.0,4038,0.35
Nocturnal works,1,93.8,150000.0,8429,0.15
Nodding Heads Games,1,88.3,150000.0,8256,0.15
Noio,2,90.5,1650000.0,1095,1.65
"Noio, Licorice",1,90.7,3500000.0,378,3.5
Noisestorm,1,97.9,750000.0,1927,0.75
Nokta Games,1,93.8,3500000.0,463,3.5
Nolla Games,1,95.3,3500000.0,448,3.5
Nom Nom Games,1,49.6,350000.0,4627,0.35
Nomad Games,4,73.2,1400000.0,1453,1.4
Nomada Studio,2,95.4,3650000.0,661,3.65
NomnomNami,1,97.5,350000.0,4192,0.35
NonNobis Games,1,58.7,150000.0,7163,0.15
Nonadecimal Creative,1,50.8,150000.0,8671,0.15
Noobz from Poland,1,78.9,350000.0,3524,0.35
Nordcurrent,1,77.0,150000.0,9169,0.15
Norrman Brothers,1,86.6,150000.0,6104,0.15
Norsfell,2,82.2,3850000.0,625,3.85
North Lab,1,71.9,150000.0,7803,0.15
North Modding Company AB,1,87.3,150000.0,7848,0.15
North of Earth,1,49.0,150000.0,6132,0.15
Northway Games,1,96.7,350000.0,5589,0.35
"Northway Games, Sarah Northway",1,86.2,150000.0,6880,0.15
Northwood Studios,1,91.4,7500000.0,128,7.5
Nosebleed Interactive,1,60.5,350000.0,4348,0.35
Nostalgames,4,83.6,725000.0,3275,0.72
"Nostalgia Hound, PiGravity",1,48.2,350000.0,4928,0.35
Not a Sailor Studios,1,93.8,350000.0,5714,0.35
NotGames,3,91.3,1800000.0,985,1.8
Notorious Studios,1,65.7,350000.0,5184,0.35
Notovia,1,78.3,750000.0,1910,0.75
"Notovia, Dreamloop Games",1,94.0,150000.0,8792,0.15
Noumena Studios,1,67.2,350000.0,4935,0.35
NovaLogic,1,92.2,150000.0,8237,0.15
Novalink,4,63.6,6650000.0,518,6.65
Novaquark,1,50.8,150000.0,7040,0.15
Novarama,1,70.3,350000.0,3966,0.35
Nowhere Studios,1,74.5,150000.0,7510,0.15
Noxfall Studios,1,88.6,350000.0,2931,0.35
Nude Maker,1,58.7,150000.0,6440,0.15
NukGames,6,82.1,2500000.0,2300,2.5
Nuke Nine,1,89.2,350000.0,3324,0.35
Nuked Cockroach,1,63.9,350000.0,5695,0.35
Numantian Games,1,85.1,3500000.0,456,3.5
Number None,1,93.4,1500000.0,983,1.5
Numinous Games,1,89.9,75000.0,9429,0.08
Nupixo Games,1,88.9,150000.0,6446,0.15
Nussygame,1,80.7,150000.0,7247,0.15
Nvizzio Creations,1,25.1,350000.0,5082,0.35
Nyamyam,1,81.0,150000.0,6569,0.15
O.T.K Games,1,89.7,350000.0,4010,0.35
OBLONE Software,1,61.9,350000.0,5078,0.35
"OCR Dev Team, Onur Uça",1,34.9,150000.0,7540,0.15
OKYO GAMES,1,95.6,750000.0,2028,0.75
OMEGAMES STUDIO,1,97.3,350000.0,3531,0.35
"OMOCAT, LLC",1,97.2,1500000.0,999,1.5
ONE-O-ONE GAMES,1,68.7,150000.0,7183,0.15
ONEONE1,4,84.7,1600000.0,2446,1.6
OPNeon Games,1,97.2,3500000.0,640,3.5
ORIGAME DIGITAL,1,91.3,150000.0,6936,0.15
ORQA,1,82.4,350000.0,2963,0.35
OTA IMON Studios,1,89.7,150000.0,7624,0.15
OTL GAME,1,96.2,150000.0,5846,0.15
OVERDRIVE,1,86.4,150000.0,7217,0.15
OVERKILL - a Starbreeze Studio.,2,91.5,38500000.0,32,38.5
OVRAS Team,1,92.4,750000.0,1507,0.75
Oath Games,1,50.4,150000.0,7389,0.15
Obb Studio Inc.,1,70.6,750000.0,1876,0.75
ObsessionSoft,1,82.2,350000.0,4961,0.35
Obsidian Entertainment,12,86.4,23450000.0,126,23.45
"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)",1,93.6,1500000.0,923,1.5
"Obsidian Entertainment, Virtuos Games",1,75.0,150000.0,8721,0.15
"Obsidian Entertainment, Wishlist Games",1,65.4,1500000.0,836,1.5
"Ocean Drive Studio, Inc.",1,69.9,350000.0,3123,0.35
Ocelot Society,1,80.3,350000.0,4607,0.35
Octane Games,1,58.5,75000.0,9817,0.08
Octoshark Studios,1,87.7,1500000.0,1248,1.5
Odd Bug Studio,1,88.4,350000.0,2783,0.35
Odd Meter,1,90.2,350000.0,4250,0.35
OddOneGames,1,65.2,350000.0,4316,0.35
Oddshot Games,1,84.6,350000.0,4871,0.35
Oddworld Inhabitants,5,82.2,1750000.0,2096,1.75
Odin Game Studio,1,47.6,150000.0,7353,0.15
Odinsoft Inc.,1,86.1,150000.0,7094,0.15
OfficialAndy,1,82.3,350000.0,5486,0.35
Offworld,3,79.6,6500000.0,528,6.5
OhNoo Studio,1,94.1,150000.0,7895,0.15
"OhNoo Studio, Smile",1,94.9,75000.0,9773,0.08
Okomotive,2,93.8,1100000.0,1587,1.1
Okugi Studio,1,54.9,150000.0,9154,0.15
Old B1ood,1,77.7,750000.0,1983,0.75
Old Games,2,67.2,700000.0,4777,0.7
Old Moon,1,83.3,350000.0,4910,0.35
Old School Games,1,70.7,350000.0,3719,0.35
Old Shack Studio,1,30.9,350000.0,4819,0.35
Ole Lange,1,96.5,350000.0,5242,0.35
Oleg Skutte,1,87.2,750000.0,2148,0.75
Olive Panda Studio,1,76.0,150000.0,8241,0.15
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",1,94.0,750000.0,2017,0.75
Omeda Studios,1,73.1,1500000.0,741,1.5
Ominous Entertainment,1,67.0,150000.0,8565,0.15
Ominux Games,1,65.7,150000.0,9165,0.15
Omniconnection,1,68.0,350000.0,4999,0.35
Omnis Rector Studios,1,66.7,150000.0,9220,0.15
On5,1,64.5,150000.0,9233,0.15
OnSkull Games,1,60.8,750000.0,2661,0.75
One Dreamer Company,1,96.1,150000.0,7224,0.15
One More Level,3,76.0,975000.0,2019,0.98
"One More Level, 3D Realms, Slipgate Ironworks™, All in! Games",1,91.4,3500000.0,607,3.5
OneShark,1,86.8,150000.0,7783,0.15
Oni Gaming,1,90.3,150000.0,7712,0.15
Onyx Lute,2,94.4,3650000.0,644,3.65
Open Mid Interactive,1,87.6,350000.0,4864,0.35
OpenTTD,1,96.2,1500000.0,663,1.5
Optillusion,1,92.6,150000.0,5893,0.15
OptizOnion,1,88.1,150000.0,8796,0.15
Opus,2,88.6,425000.0,3611,0.42
Oracle and Bone,1,96.2,75000.0,9877,0.08
Orange_Juice,2,75.4,500000.0,4947,0.5
"Orange_Juice, Fruitbat Factory",1,91.7,1500000.0,1145,1.5
OrangesGame Technology Limited,1,63.5,150000.0,6481,0.15
Orbital Views,1,73.3,150000.0,8806,0.15
Orc Chop Games,1,54.7,150000.0,6839,0.15
Orca Layout,1,94.7,75000.0,9538,0.08
Oreol,1,73.4,150000.0,6934,0.15
Organic 2 Digital Studio,1,86.1,150000.0,9005,0.15
Origin8 Technologies Ltd.,1,90.8,350000.0,5538,0.35
Original Fire Games,1,86.3,350000.0,2958,0.35
Orion Games,2,53.7,700000.0,4261,0.7
Orius Games,1,96.2,350000.0,2874,0.35
Orpheus's Dream Team,1,70.0,150000.0,8425,0.15
"Orteil, DashNet",1,96.7,3500000.0,357,3.5
Orthogonal Games,1,74.6,150000.0,6866,0.15
Osarion,1,94.9,350000.0,3268,0.35
Oskar Stålberg,1,95.6,1500000.0,1097,1.5
Osmose Studio,1,87.4,350000.0,3205,0.35
Osmotic Studios,2,83.2,1850000.0,762,1.85
Ostrich Banditos,1,91.4,350000.0,5164,0.35
Osumia Games,1,88.0,1500000.0,850,1.5
Other Ocean Emeryville,1,82.2,350000.0,4528,0.35
Other Ocean Interactive,2,83.5,1850000.0,1038,1.85
Other Tales Interactive,1,85.9,750000.0,2130,0.75
Ouadi Huard,1,91.2,350000.0,5431,0.35
Oubliette,1,68.4,150000.0,7252,0.15
Out of the Blue Games,2,91.3,500000.0,4737,0.5
Out of the Park Developments,2,85.8,300000.0,6954,0.3
Outer Heaven,1,78.4,150000.0,9256,0.15
Outerlight Ltd.,3,78.5,2000000.0,1051,2.0
Outlands,1,64.0,350000.0,5457,0.35
"Outpost Games, Inc.",1,27.8,350000.0,3951,0.35
Over The Moon,2,84.6,500000.0,4552,0.5
Over the Top Games,1,84.2,350000.0,3535,0.35
OverBorder Studio,1,84.0,750000.0,1878,0.75
Overgroup,1,74.2,350000.0,3477,0.35
Overhead Games,1,82.3,350000.0,4478,0.35
Overhype Studios,1,88.2,1500000.0,1383,1.5
Overseer Games,1,73.1,150000.0,5738,0.15
Ovosonico,1,86.7,150000.0,6263,0.15
Owlcat Games,3,82.4,22000000.0,92,22.0
Owlchemy Labs,5,74.3,1150000.0,4072,1.15
Owlet,1,87.7,150000.0,7325,0.15
