developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
Akella,1,71.9,150000.0,6375,0.15
"Akella, .dat",2,41.4,500000.0,3992,0.5
Akhir Pekan Studio,1,87.1,75000.0,9764,0.08
Akiragoya,1,99.1,350000.0,4090,0.35
Al Fine,1,90.3,350000.0,5662,0.35
"AlPixel Games, Luis Diaz, Gustavo Santos, Albert Fernandez, Tice Thomason",1,87.7,350000.0,3587,0.35
Alambik Studio,1,73.4,150000.0,6949,0.15
Alan Edwardes,1,86.4,150000.0,7385,0.15
Alastair John Jack,1,87.7,150000.0,6603,0.15
Alawar,5,86.1,2550000.0,1493,2.55
Alawar Casual,1,91.7,150000.0,9047,0.15
Alawar Dreamdale,1,74.3,350000.0,5353,0.35
Alawar Entertainment,1,65.4,75000.0,9840,0.08
Alawar Stargaze (Warm Lamp Games),2,89.6,2250000.0,927,2.25
"Alawar, Mirball Games",1,78.6,350000.0,5494,0.35
Albino Moose Games,1,96.0,150000.0,6336,0.15
Alcedo Games,1,89.2,150000.0,6257,0.15
Alda Games,3,78.9,1250000.0,2692,1.25
Aldorlea Games,2,79.1,500000.0,4058,0.5
AleCubicSoft,1,82.5,150000.0,6427,0.15
Alec Smith,1,94.3,150000.0,8807,0.15
Aleksandr Golovkin,4,78.8,1200000.0,2742,1.2
Aleksei Abramenko,1,89.3,350000.0,3256,0.35
Alessandro Guzzo,1,75.3,150000.0,6795,0.15
Alex Francois,1,84.9,150000.0,7977,0.15
Alex Olinkiewicz,1,86.7,150000.0,8125,0.15
Alex Piola,1,75.4,1500000.0,686,1.5
Alex Zhang,1,61.4,150000.0,6993,0.15
Alexander Bruce,1,95.1,1500000.0,1336,1.5
"Alexey Bokulev, Snowbird Games",1,82.9,150000.0,7699,0.15
"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy, Flazm",1,89.7,750000.0,2528,0.75
"Alexey Khazov, Cristian Ionescu, Lars van Dorenvanck, Brandon van Doorn, Joran Vergoessen, Admir Leka",1,61.6,150000.0,7866,0.15
Alice &amp; Smith,1,67.3,350000.0,4085,0.35
Alien Pixel Studios,2,89.8,300000.0,7102,0.3
Alientrap,6,85.0,2100000.0,2818,2.1
Alister Software,2,66.0,1100000.0,2086,1.1
Alkemi,1,84.7,150000.0,6537,0.15
All Possible Futures,1,86.2,150000.0,8804,0.15
All Seeing Eye Games,1,89.9,150000.0,6125,0.15
All Those Moments,1,77.4,150000.0,8725,0.15
All Yes Good,1,91.8,150000.0,6902,0.15
All in! Games,1,70.2,150000.0,5827,0.15
Allgraf,1,48.3,150000.0,7225,0.15
"Alliance Arts, UnknownX",1,80.2,150000.0,6450,0.15
Allicorn Games,1,63.5,350000.0,5011,0.35
Allyson de Souza Bacon,1,57.4,150000.0,6489,0.15
Almighty Games,1,89.8,350000.0,5238,0.35
Almost Human Games,2,92.3,1100000.0,1664,1.1
Alon Zubina,1,78.9,350000.0,4218,0.35
"Alper Gonen, Dogan Dipcin",1,53.0,150000.0,8019,0.15
Alpha Blend Interactive,1,80.9,350000.0,3131,0.35
AlphaSoft LLC,1,69.8,1500000.0,1309,1.5
Alt Shift,1,85.9,350000.0,3214,0.35
Altaire,1,73.3,150000.0,9288,0.15
Altar Games,2,80.1,700000.0,3170,0.7
Altar Interactive,1,78.4,350000.0,5443,0.35
Alter Games,1,82.2,750000.0,2257,0.75
Altered Orbit Studios,1,91.9,150000.0,6186,0.15
Alternativa Game Ltd.,1,61.6,150000.0,8476,0.15
Altfuture,1,96.3,750000.0,2191,0.75
"AltspaceVR, Inc.",1,71.4,350000.0,5030,0.35
Aluba Van+,2,93.0,900000.0,2241,0.9
"Alzan Studios, LLC",1,89.6,75000.0,9857,0.08
Amanita Design,8,91.9,4475000.0,1119,4.47
Amaterasu Software,7,55.0,4050000.0,1722,4.05
Amazon Games,1,68.6,75000000.0,6,75.0
Ambiera e.U.,1,81.0,350000.0,4541,0.35
Amistech Games,1,94.6,1500000.0,1043,1.5
Ammobox Studios,1,87.9,1500000.0,672,1.5
An Open Ben,1,81.9,150000.0,8390,0.15
Anarchy Enterprises,1,78.9,75000.0,9580,0.08
Anarchy Games,1,78.9,750000.0,1520,0.75
Anarkis Gaming,1,61.9,150000.0,7481,0.15
Anate Studio,1,85.5,150000.0,7200,0.15
Anatoliy Loginovskikh,5,71.6,1350000.0,3041,1.35
"Anatoliy Loginovskikh, Catherine Svyataya",1,91.0,75000.0,9463,0.08
"Anatoliy Loginovskikh, Аlexandr Telminov",1,94.5,350000.0,5479,0.35
Ancient Forge,1,80.1,750000.0,2315,0.75
Ancient Forge Studio,1,93.4,350000.0,5213,0.35
Anders Grube Jensen,1,97.7,150000.0,6402,0.15
Andre Monteiro,1,80.1,150000.0,7613,0.15
Andreas Hager Gaming,1,78.5,150000.0,7846,0.15
"Andrei Cretu, Giacomo Autili, Tomer Barnea",1,90.3,150000.0,6177,0.15
Andrei Ivashentsev,1,75.3,150000.0,7027,0.15
"Andrew Bates, Craig Bentick, Nolan Cunningham, Onomis",1,84.1,150000.0,6772,0.15
