publisher,game_count,total_owners,avg_positive_ratio,total_reviews,avg_price_eur,peak_ccu,total_owners_M
Yak & Co,1,350000.0,95.3,5488,19.99,17,0.35
Yin Games,1,350000.0,89.3,726,5.99,9,0.35
Sad Doge,1,350000.0,89.4,2191,7.99,4,0.35
Sad Socket,1,350000.0,93.8,4118,0.99,22,0.35
SadSquare Studio,1,350000.0,85.2,9821,34.99,24,0.35
SCP: Escape Together development team,1,350000.0,64.9,3563,0.0,8,0.35
Archmage Games Studio,1,350000.0,85.0,4573,5.99,306,0.35
Arkane Studios,1,350000.0,87.8,2231,4.99,6,0.35
Madison Karrh,1,350000.0,96.4,3152,10.99,3,0.35
MGG Studio,1,350000.0,82.3,3116,0.99,1,0.35
Mannequin Games LLC,1,350000.0,44.9,1322,0.0,3,0.35
Mash Games,1,350000.0,93.1,6198,9.99,10,0.35
SBSoftLab,1,350000.0,97.5,2198,3.99,155,0.35
Mad Head Games,1,350000.0,50.2,2781,19.99,1,0.35
"Codemasters, Feral Interactive (Mac), Electronic Arts",1,350000.0,85.8,4504,0.0,13,0.35
Fun Games For Free,1,350000.0,64.3,1665,0.0,24,0.35
"Future Friends Games, Exbleative",1,350000.0,90.2,4618,16.99,3,0.35
"Future Friends Games, StudioInkyfox",1,350000.0,92.5,2473,18.99,2,0.35
Triangle Studios,1,350000.0,79.8,515,9.99,1,0.35
Triband,1,350000.0,93.7,4278,19.99,14,0.35
Trickjump Games Ltd,1,350000.0,57.3,1652,0.0,0,0.35
"Trilum Studios, RSPCA",1,350000.0,93.7,2670,0.0,8,0.35
TroyHolman,1,350000.0,86.0,6372,0.0,1,0.35
Tuborg entertainment,1,350000.0,78.5,3254,0.0,0,0.35
TurnVex,1,350000.0,70.0,1763,0.0,2,0.35
Gameforge 4D GmbH‬,1,350000.0,68.5,1412,0.0,100,0.35
Dovetail Games,1,350000.0,65.3,1796,14.99,4,0.35
ZOV GAME STUDIO,1,350000.0,75.2,1193,1.99,0,0.35
Zero Gravity,1,350000.0,55.4,4148,0.0,3,0.35
Artifice Studio,1,350000.0,87.7,1923,0.0,0,0.35
"Artix Entertainment, LLC",1,350000.0,81.7,9286,0.0,160,0.35
Ascalon Games,1,350000.0,92.1,1084,2.99,26,0.35
Aslan Game Studio,1,350000.0,50.7,1176,0.0,6,0.35
Pavo Studio,1,350000.0,92.3,3490,4.99,263,0.35
Magic Pixel Kft.,1,350000.0,81.2,1656,0.0,15,0.35
Mainframe Industries,1,350000.0,65.6,6242,29.99,145,0.35
"Mammorize, Flawless Gaming, Erabit",1,350000.0,88.6,3200,9.99,164,0.35
Mana Potion Studios,1,350000.0,90.7,2911,4.99,11,0.35
"Mana Potion Studios, Pingle Studio Ltd",1,350000.0,82.9,4813,19.99,22,0.35
"SOFTSTAR ENTERTAINMENT, Gamera Games",1,350000.0,90.3,3097,19.99,42,0.35
"SOFTSTAR TECHNOLOGY (SHANGHAI) CO., LTD",1,350000.0,73.8,1624,0.0,1,0.35
"SBN3, Wrath Club",1,350000.0,97.7,4036,14.99,32,0.35
Con Artist Games,1,350000.0,67.2,1015,0.0,0,0.35
Bitrich.info,1,350000.0,89.9,2159,12.49,107,0.35
Black Eye Games,1,350000.0,67.8,10338,0.0,1,0.35
Black Flag Studios,1,350000.0,67.5,4651,4.99,12,0.35
Black Tabby Games,1,350000.0,96.9,708,0.0,0,0.35
"Running With Scissors, Hyperstrange",1,350000.0,95.7,8470,19.99,38,0.35
S.C. 16 BIT NIGHTS S.R.L.,1,350000.0,71.1,1348,4.99,0,0.35
"S2 Games, LLC",1,350000.0,67.9,770,0.0,1,0.35
SBN3,1,350000.0,95.4,7043,9.99,46,0.35
MaxEstLa,1,350000.0,83.9,4109,0.0,52,0.35
Roope Tamminen,1,350000.0,92.5,1870,9.99,3,0.35
Rootpew,1,350000.0,77.6,1212,0.0,0,0.35
"Doot Tiny Games, Wholesome Games Presents",1,350000.0,97.8,5307,4.99,49,0.35
Dorado Games,1,350000.0,76.7,5257,0.0,301,0.35
Double Coconut,1,350000.0,48.4,958,0.0,8,0.35
Double Dagger Studio,1,350000.0,96.5,10785,24.99,74,0.35
"Michael Pelletier, Ross Joseph Gardner",1,350000.0,87.5,730,0.0,0,0.35
Rivernotch Game Studio,1,350000.0,97.0,200,0.0,4,0.35
Roastery Games,1,350000.0,53.7,1651,6.99,3,0.35
ZackBellGames,1,350000.0,81.3,1576,4.99,1,0.35
"2pt Interactive, Team17",1,350000.0,95.5,3928,8.49,19,0.35
Dohi Sweden AB,1,350000.0,78.5,657,0.0,1,0.35
Zaxis Games,1,350000.0,60.8,604,4.99,0,0.35
Zepetto USA,1,350000.0,69.2,1163,0.0,0,0.35
"RocketPunch Games, Lightning Games",1,350000.0,83.0,2613,19.99,1,0.35
MeNic Games,1,350000.0,80.9,874,7.99,0,0.35
Mediator Software,1,350000.0,66.9,390,0.0,0,0.35
Mega Cat Studios,1,350000.0,95.9,9772,19.99,44,0.35
Megagon Industries,1,350000.0,91.1,2767,19.99,14,0.35
Mehan Games,1,350000.0,87.3,1157,11.99,0,0.35
Merge Publishing,1,350000.0,49.0,314,1.49,0,0.35
Rocketcat Games,1,350000.0,92.8,9385,14.99,269,0.35
Chibig,1,350000.0,75.6,1932,1.99,6,0.35
ASTRUM LAB,1,350000.0,64.9,1667,0.0,10,0.35
Frinky,1,350000.0,88.3,3852,0.0,0,0.35
Frogmind,1,350000.0,85.7,3077,9.99,6,0.35
ATLUS USA,1,350000.0,70.7,2525,0.0,0,0.35
Threaks,1,350000.0,75.4,1183,9.99,0,0.35
Three Flip Studios,1,350000.0,73.6,1651,19.99,6,0.35
Campus ADN,1,350000.0,51.2,127,0.0,0,0.35
Comfy Company,1,350000.0,87.7,4832,0.0,2,0.35
Rising Star Games,1,350000.0,66.3,4463,24.99,19,0.35
Messy Desk Interactive,1,350000.0,90.3,998,0.0,2,0.35
Metanet Software Inc.,1,350000.0,93.7,3206,14.99,10,0.35
"Metaroot, Timon Herzog",1,350000.0,97.0,1543,9.99,31,0.35
Mi'pu'mi Games GmbH,1,350000.0,92.4,2220,0.0,0,0.35
"Mi-Clos Studio, WhisperGames, Fractale",1,350000.0,75.4,1690,2.99,3,0.35
Micah Boursier,1,350000.0,95.3,4939,0.0,3,0.35
Ripple Studio,1,350000.0,66.6,1209,0.0,21,0.35
bananadev.,1,350000.0,85.8,1704,0.0,6,0.35
bitComposer Games,1,350000.0,76.1,2150,7.99,10,0.35
blueflower,1,350000.0,94.1,3309,9.99,72,0.35
dotBunny,1,350000.0,49.0,367,0.0,0,0.35
droqen,1,350000.0,60.5,529,5.99,0,0.35
DisStream,1,350000.0,58.5,1568,0.0,0,0.35
Zombie Studios,1,350000.0,50.5,1571,4.99,0,0.35
adamgryu,1,350000.0,99.2,19064,7.99,13,0.35
Rogue Snail,1,350000.0,67.3,1141,19.99,1,0.35
"Untold Tales, CouchPlay Interactive",1,350000.0,96.4,4771,8.74,17,0.35
"Untold Tales, Hyperstrange, Gamersky Games",1,350000.0,70.1,3714,19.99,14,0.35
ANIPLEX.EXE,1,350000.0,98.6,20882,20.99,72,0.35
AQUIRIS,1,350000.0,93.0,5608,19.99,15,0.35
"Free Wing, NPC Entertainment",1,350000.0,89.4,5409,19.99,2538,0.35
ChainWave Games,1,350000.0,73.8,1652,0.0,0,0.35
Restory Studio,1,350000.0,76.5,1888,9.99,0,0.35
"Bit Blot, LLC",1,350000.0,88.0,1491,9.99,1,0.35
"Bit Kid, Inc.",1,350000.0,72.8,2495,19.99,8,0.35
Mighty Games,1,350000.0,91.7,1426,0.0,1,0.35
Michaela Laws,1,350000.0,86.7,2179,0.0,5,0.35
Bigmode,1,350000.0,96.0,20790,17.49,75,0.35
Binogure Studio,1,350000.0,89.1,970,15.99,8,0.35
"BioWare, Electronic Arts",1,350000.0,75.0,1939,14.99,3,0.35
Biotech Gameworks,1,350000.0,85.9,6576,17.99,80,0.35
Robert Yang,1,350000.0,86.2,2943,0.0,2,0.35
Robot Squid,1,350000.0,79.1,8978,0.0,24,0.35
Rocket Bear Games,1,350000.0,93.6,2957,14.99,6,0.35
Rocket Panda Games,1,350000.0,83.2,2987,14.99,1,0.35
"Retrovibe, gaming company",1,350000.0,87.1,5497,2.4,28,0.35
Reverse Impact,1,350000.0,68.1,185,1.99,0,0.35
Rhinotales,1,350000.0,77.8,3076,7.99,3,0.35
Retrovibe,1,350000.0,94.4,691,7.69,12,0.35
"Atari, Aspyr (Mac)",1,350000.0,87.2,2460,19.99,118,0.35
"Atari, RCTO Productions",1,350000.0,25.1,5791,14.99,5,0.35
DesktopMMD Team,1,350000.0,73.6,788,3.99,16,0.35
"Destructive Creations, All in! Games",1,350000.0,69.4,3924,2.99,10,0.35
DiP Online,1,350000.0,54.9,810,0.0,1,0.35
Diatomic Studios,1,350000.0,86.4,6398,4.99,12,0.35
Dicesuki,1,350000.0,96.3,4047,0.0,10,0.35
"Different Tales, Pretty Soon",1,350000.0,83.1,1018,14.99,0,0.35
eduweb,1,350000.0,97.9,10248,29.99,869,0.35
eigoMANGA,1,350000.0,69.9,2851,4.99,0,0.35
1336 Studios,1,350000.0,79.1,2019,0.0,1,0.35
DigX Studios,1,350000.0,85.2,6586,15.99,125,0.35
DiggerGames,1,350000.0,48.7,17980,7.99,8,0.35
Ateam Entertainment Inc.,1,350000.0,74.5,1089,0.0,199,0.35
Refract,1,350000.0,92.5,7190,24.99,19,0.35
CookieByte Entertainment,1,350000.0,79.0,979,19.99,3,0.35
Copybugpaste,1,350000.0,72.9,968,14.99,0,0.35
Cornfox & Brothers Ltd.,1,350000.0,79.7,2070,14.99,10,0.35
Corroding Games,1,350000.0,96.7,6241,4.99,174,0.35
"flanne, Erabit",1,350000.0,95.6,4195,0.0,0,0.35
gamigo AG,1,350000.0,61.6,764,0.0,34,0.35
Modern Visual Arts Laboratory,1,350000.0,95.1,8061,9.99,6,0.35
MogDogBlog Productions,1,350000.0,97.6,9433,2.49,731,0.35
Mojang,1,350000.0,64.4,758,0.0,0,0.35
Monkeys Lab.,1,350000.0,52.6,1743,0.0,1,0.35
Asteristic Game Studio,1,350000.0,90.8,2808,5.99,1,0.35
Asteroid Base,1,350000.0,93.0,3866,14.99,7,0.35
Astro Hound,1,350000.0,90.6,926,1.99,7,0.35
Mirillis,1,350000.0,85.8,7251,29.99,262,0.35
Mismatch Studio,1,350000.0,96.2,5882,0.0,28,0.35
Retro Yeti Games,1,350000.0,85.2,1738,0.0,1,0.35
Giiku Games,1,350000.0,69.1,757,0.0,27,0.35
Tinogames Inc.,1,350000.0,84.3,3743,19.99,4,0.35
Glass Heart Games,1,350000.0,86.8,3355,21.99,8,0.35
"GlassesCatGames, indienova",1,350000.0,85.0,2821,10.49,3,0.35
CRASS Infotech,1,350000.0,37.3,408,4.99,4,0.35
"CRAZYDIAMOND CO., LTD.",1,350000.0,75.3,1630,0.0,195,0.35
CakeEaterGames,1,350000.0,86.8,8613,0.0,6,0.35
Moolion,1,350000.0,82.1,772,0.0,0,0.35
"Mixed Realms Pte Ltd, Spiral Up Games",1,350000.0,89.2,5784,8.39,48,0.35
Mooncube Games,1,350000.0,97.6,12083,11.99,1742,0.35
Moonlit Works,1,350000.0,89.1,8542,0.0,1,0.35
"Motion Twin, Kepler Ghost",1,350000.0,90.0,8453,24.99,231,0.35
Motorsport Games,1,350000.0,72.9,3659,24.99,11,0.35
holo Indie,1,350000.0,85.3,1144,7.99,7,0.35
iBlackpen,1,350000.0,92.8,1810,0.0,0,0.35
Considera Core LLC,1,350000.0,84.8,1702,0.0,81,0.35
Beyond Frames,1,350000.0,74.8,9372,24.99,229,0.35
Biart Company LLC,1,350000.0,74.0,987,9.99,1,0.35
"Bifrost Entertainment, DANGEN Entertainment, Gamirror Games, INTRAGAMES CO., LTD.",1,350000.0,86.6,4730,19.99,4,0.35
Big Finish Games,1,350000.0,87.1,1293,19.99,0,0.35
Rayark International Limited,1,350000.0,91.8,4934,14.99,0,0.35
Reactive Drop Team,1,350000.0,94.9,22649,0.0,179,0.35
Real Dynamics,1,350000.0,71.7,1410,3.99,0,0.35
Red Dwarf Games,1,350000.0,90.0,3305,0.0,2,0.35
"Goblinz Publishing, H2 Interactive Co., Ltd.",1,350000.0,75.9,406,19.99,13,0.35
Goblobin,1,350000.0,97.8,11604,2.99,50,0.35
Going Loud Studios,1,350000.0,88.3,6244,2.99,1,0.35
Good Vibration Games,1,350000.0,52.3,1462,0.0,3,0.35
Thylacine Studios LLC,1,350000.0,94.4,2021,19.99,134,0.35
Tiger Style,1,350000.0,88.8,1187,9.99,0,0.35
Tigerish Games,1,350000.0,83.3,1535,0.0,2,0.35
"Giant Form Entertainment, LLC",1,350000.0,94.6,2340,0.0,4,0.35
MobileBits,1,350000.0,41.0,483,0.0,3,0.35
My Little Planet Ltd,1,350000.0,89.7,934,6.99,4,0.35
Betagames Group,1,350000.0,74.7,3939,11.99,15,0.35
TwoWizards,1,350000.0,86.7,1596,0.0,524,0.35
AXC GAMES,1,350000.0,44.8,1812,0.0,0,0.35
AbstractArt,1,350000.0,88.2,3643,1.99,1,0.35
Abyte Entertainment,1,350000.0,85.3,3894,7.49,52,0.35
G2CREW,1,350000.0,77.2,889,0.0,2,0.35
Game Star,1,350000.0,79.8,738,9.99,28,0.35
Game in a Bottle,1,350000.0,88.6,2699,12.99,91,0.35
UNDEAD BATTERY,1,350000.0,85.0,2572,16.99,33,0.35
USC Games,1,350000.0,99.4,10119,0.0,33,0.35
Uber Entertainment,1,350000.0,78.9,1184,4.99,0,0.35
"GFX47, WhisperGames",1,350000.0,89.4,867,14.99,2,0.35
Acke Hallgren,1,350000.0,94.8,4975,0.0,4,0.35
蒸汽满满工作室,1,350000.0,95.3,7663,5.94,70,0.35
"AurumDust, WhisperGames",1,350000.0,73.8,3361,24.99,5,0.35
Rarebyte,1,350000.0,89.6,3888,8.99,8,0.35
Rat Monthly,1,350000.0,98.1,5542,2.99,17,0.35
"Ravenage Games, 2P Games",1,350000.0,65.5,2885,14.99,0,0.35
Bad Viking,1,350000.0,73.5,415,0.0,0,0.35
"BadFly Interactive, a.s.",1,350000.0,73.1,3702,4.99,6,0.35
Baggy Cat Ltd.,1,350000.0,95.3,3131,12.99,4,0.35
"Ravenage Games, Sidekick Publishing",1,350000.0,73.6,3663,9.99,90,0.35
MythoLogic Interactive,1,350000.0,89.0,3264,9.99,38,0.35
Deep Type Games,1,350000.0,85.2,3869,24.99,10,0.35
Delayed Victory,1,350000.0,90.5,1834,0.59,15,0.35
Denis Galanin (mif2000),1,350000.0,63.4,544,4.99,0,0.35
1MB,1,350000.0,72.2,353,0.0,1,0.35
Musa CANDIR,1,350000.0,95.4,151,1.99,0,0.35
"Athena Works, SakuraGame",1,350000.0,87.8,3927,0.0,3,0.35
Atomic Kraken,1,350000.0,57.5,637,0.0,0,0.35
Pixel by Pixel Studios Inc.,1,350000.0,86.4,2094,0.0,174,0.35
PixelGreeds,1,350000.0,80.2,620,0.0,0,0.35
yuzhen,1,350000.0,92.7,3981,10.99,4,0.35
КиКо,1,350000.0,92.2,154,0.28,2,0.35
Cylinder Studios,1,350000.0,75.0,3167,0.0,13,0.35
万象皆春,1,350000.0,38.5,5443,17.99,2,0.35
中三之家,1,350000.0,85.9,1344,0.0,7,0.35
"Nanjing QiangJun Network Co., Ltd.",1,350000.0,17.2,494,0.0,0,0.35
"Ragged Games, PlayWay S.A.",1,350000.0,88.1,4011,4.79,54,0.35
2 Zombie Games,1,350000.0,80.8,2249,3.99,1,0.35
Auroch Digital,1,350000.0,84.0,2974,19.99,9,0.35
NEZOS GAMES,1,350000.0,57.4,101,0.99,1,0.35
Beetlewing,1,350000.0,92.9,2154,16.99,10,0.35
"Beijing Litchi Culture Media Co., Ltd.",1,350000.0,84.0,2693,19.99,21,0.35
"Beijing Litchi Culture Media Co., Ltd., Gamera Game",1,350000.0,85.9,4519,16.99,19,0.35
Ben Reber,1,350000.0,92.9,6972,5.99,1163,0.35
"Neonovice Co., Ltd.",1,350000.0,90.3,5822,44.99,126,0.35
Net Games Distribution LTD,1,350000.0,25.7,526,0.0,1,0.35
Netease Games,1,350000.0,61.4,5056,0.0,0,0.35
22cans Ltd.,1,350000.0,24.9,7241,0.0,1,0.35
David Wehle,1,350000.0,75.3,5577,9.99,2,0.35
Dead Thread Games,1,350000.0,85.5,4627,0.0,2,0.35
Decaying Logic,1,350000.0,34.5,498,12.99,0,0.35
"Deck13, Smilegate",1,350000.0,95.3,6908,24.99,102,0.35
"Deck13, WhisperGames",1,350000.0,90.2,6757,24.99,102,0.35
jackal_dev_test,1,350000.0,85.1,1421,0.0,0,0.35
jgallant,1,350000.0,94.3,1691,0.0,75,0.35
jorgen games Ltd,1,350000.0,89.4,2355,19.99,74,0.35
"Neat Corporation, Creature Label",1,350000.0,80.4,1845,29.99,2,0.35
Necrophone Games,1,350000.0,93.4,7669,14.99,4,0.35
Neko Game,1,350000.0,86.0,1635,2.99,16,0.35
"Baked Games, PlayWay S.A.",1,350000.0,89.2,2912,0.0,2,0.35
"Games Operators, PlayWay S.A.",1,350000.0,71.9,970,2.39,8,0.35
Unknown Softwares Lab,1,350000.0,94.1,1732,0.0,1,0.35
Unlimited Fries,1,350000.0,97.7,3622,0.0,4,0.35
Untitled Studio,1,350000.0,92.3,11332,2.99,216,0.35
"Toge Productions, Cube Game",1,350000.0,97.5,6215,19.99,14,0.35
Tomkorp Computer Solutions Inc.,1,350000.0,75.7,391,1.99,0,0.35
Active Fungus Studios,1,350000.0,79.2,365,17.99,0,0.35
"Activision Value Publishing Inc., ImageCode",1,350000.0,88.6,3954,5.99,16,0.35
Rabbiton,1,350000.0,96.4,2358,0.0,2,0.35
Radian Simulations LLC,1,350000.0,91.9,6108,29.99,102,0.35
Bermuda Computer Club,1,350000.0,54.9,13538,19.99,550,0.35
Bernt Andreas Eide,1,350000.0,60.6,1634,0.0,3,0.35
NIK,1,350000.0,38.4,3340,0.0,4,0.35
Naiadgames,1,350000.0,67.3,734,0.0,23,0.35
QCF Design,1,350000.0,84.0,2276,14.99,12,0.35
QMx Interactive,1,350000.0,41.7,659,0.0,0,0.35
"RED DUCK, INC.",1,350000.0,54.8,1462,0.0,0,0.35
NanningsGames,1,350000.0,91.2,2706,0.0,0,0.35
National Westminster Bank plc,1,350000.0,95.4,3578,0.0,15,0.35
Proton Studio,1,350000.0,89.0,2503,4.99,12,0.35
New Blood Interactive ,1,350000.0,95.5,7262,14.99,45,0.35
Battlecruiser Games,1,350000.0,83.1,3806,14.99,3,0.35
Bazooka Tango,1,350000.0,72.2,1333,0.0,3,0.35
Neognosis,1,350000.0,94.1,3350,14.99,8,0.35
REMIMORY,1,350000.0,73.2,1287,0.0,3,0.35
RIVERSIDE SPORTS,1,350000.0,84.6,4628,0.99,0,0.35
Campfire Studio,1,350000.0,90.2,5077,5.99,110,0.35
Unfold Games,1,350000.0,94.0,4011,19.99,2,0.35
Unigine Corp.,1,350000.0,57.5,510,0.0,0,0.35
United Label,1,350000.0,88.4,12372,24.99,39,0.35
"Topware Interactive ACE, ACE",1,350000.0,62.8,562,6.99,28,0.35
"Gamersky Games, 2P Games",1,350000.0,86.0,2431,6.49,45,0.35
Pugscape,1,350000.0,87.9,9394,0.0,2,0.35
Pun Intended,1,350000.0,97.9,5963,0.0,12,0.35
Night Signal Entertainment,1,350000.0,92.0,2211,14.99,23,0.35
ProGames Studio,1,350000.0,85.3,6007,4.99,8,0.35
Project Tranquil,1,350000.0,79.3,1778,0.0,1,0.35
"k-Critical, Infinite Monkeys Entertainment Ltd.",1,350000.0,96.0,2409,12.99,2,0.35
khukhrovr  ,1,350000.0,88.0,317,3.99,6,0.35
like Charlie,1,350000.0,93.7,6463,0.0,4,0.35
maJAJa,1,350000.0,97.2,6903,19.99,2,0.35
mino_dev,1,350000.0,97.3,8711,14.99,140,0.35
Netflix,1,350000.0,88.9,1911,19.99,6,0.35
Qooland Games,1,350000.0,80.6,14866,29.99,2760,0.35
Quadfix Games,1,350000.0,72.7,1830,9.99,7,0.35
R-Age,1,350000.0,75.6,1587,0.0,0,0.35
R-Age LLC,1,350000.0,84.4,4093,13.99,349,0.35
R2Games,1,350000.0,53.5,628,0.0,0,0.35
sebagamesdev,1,350000.0,91.2,2974,19.99,4,0.35
Dark Day Interactive,1,350000.0,22.7,1626,0.0,0,0.35
Dark Energy Digital Ltd.,1,350000.0,60.2,2354,4.99,0,0.35
DarxDev,1,350000.0,76.8,5460,4.99,4,0.35
David Amador,1,350000.0,75.3,720,4.99,0,0.35
David Schneider,1,350000.0,84.2,1516,0.0,1,0.35
David Stark,1,350000.0,95.9,5947,24.99,68,0.35
"nanos GbR, Square Enix",1,350000.0,78.2,2658,0.0,2,0.35
Nimbly Games,1,350000.0,91.9,1907,0.0,3,0.35
Ninth Exodus,1,350000.0,90.8,1283,24.99,14,0.35
"Ocelot Society, Tohu Bohu Games",1,350000.0,80.3,2229,19.99,2,0.35
No Ceiling Games,1,350000.0,93.9,5773,14.99,545,0.35
Axyos Games,1,350000.0,51.1,2278,4.99,0,0.35
Popcannibal,1,350000.0,98.2,8936,4.99,5,0.35
Porcelain Fortress,1,350000.0,92.1,2384,4.19,26,0.35
BearBoneStudio,1,350000.0,96.2,3432,19.99,25,0.35
"Playdigious Originals, XD",1,350000.0,80.4,1135,9.99,1,0.35
Playrise Digital Ltd.,1,350000.0,76.9,685,3.99,1,0.35
Playway S.A.,1,350000.0,46.9,2849,14.99,1,0.35
Pocketwatch Games,1,350000.0,79.9,4057,19.99,3,0.35
Next Dimension Game Adventures Ltd.,1,350000.0,84.1,1511,9.99,0,0.35
NextNinja,1,350000.0,86.4,992,0.0,1,0.35
Nicholas Rizzo,1,350000.0,74.1,1798,14.99,4,0.35
Nick Kestle,1,350000.0,90.1,5706,4.99,11,0.35
Night Node,1,350000.0,83.0,1787,0.0,0,0.35
AvoCavo,1,350000.0,96.4,4690,0.0,2,0.35
AwesomeBlade,1,350000.0,73.2,1939,6.99,1,0.35
No Moon,1,350000.0,84.9,2985,0.0,0,0.35
No Stuck Game Studio,1,350000.0,72.2,2279,0.0,1,0.35
NomnomNami,1,350000.0,97.5,8332,9.99,6,0.35
notdead,1,350000.0,97.0,2076,19.99,3,0.35
rojekti,1,350000.0,68.8,321,0.0,5,0.35
Novarama,1,350000.0,70.3,3492,29.99,1,0.35
Noxfall Studios,1,350000.0,88.6,5957,6.49,139,0.35
Nuke Nine,1,350000.0,89.2,4840,14.99,26,0.35
Nuked Cockroach,1,350000.0,63.9,324,0.0,0,0.35
DRAGO entertainment,1,350000.0,55.3,1554,16.99,1,0.35
takk,1,350000.0,81.6,403,0.99,1,0.35
Damian Kubiak,1,350000.0,91.4,1478,15.99,4,0.35
Dan Walters,1,350000.0,84.1,1171,1.99,0,0.35
Dandylion,1,350000.0,94.0,9197,24.99,86,0.35
Nikk F.,1,350000.0,71.0,728,0.0,0,0.35
Nikola Todorovic,1,350000.0,95.7,3461,24.99,114,0.35
Nimble Neuron,1,350000.0,72.0,504,0.0,0,0.35
"tobspr Games, Doyoyo Games",1,350000.0,96.2,13681,9.99,328,0.35
"tobspr Games, Gamirror Games",1,350000.0,98.1,11061,20.99,2399,0.35
torcado,1,350000.0,95.9,3057,4.99,14,0.35
"Null State Protocol, Gamersky Games",1,350000.0,79.2,1119,7.99,3,0.35
"turbolento publishing, Team17",1,350000.0,97.8,17685,0.99,140,0.35
u&amp;i,1,350000.0,91.3,4181,0.0,1,0.35
Counter_Agents_Team,1,350000.0,90.7,161,0.0,0,0.35
Coyote Time Publishing,1,350000.0,90.3,124,14.99,0,0.35
Cr3 Studio,1,350000.0,79.7,6064,16.99,225,0.35
Crazy Viking Studios,1,350000.0,81.4,2417,9.99,2,0.35
vidiludi games and entertainment,1,350000.0,58.6,1415,0.0,0,0.35
Ayacat Games,1,350000.0,95.2,3605,2.99,2,0.35
North Beach Games,1,350000.0,83.0,8244,13.49,370,0.35
Balloon Moose Games,1,350000.0,89.9,3708,19.99,10,0.35
Bandai Namco Entertainment Europe,1,350000.0,55.6,4641,39.99,38,0.35
Basaltic studio,1,350000.0,66.4,1716,0.0,0,0.35
Political Games LLC,1,350000.0,75.6,1052,0.0,9,0.35
Poly Games,1,350000.0,82.6,1319,9.99,36,0.35
Not a Sailor Studios,1,350000.0,93.8,3951,9.99,5,0.35
Notorious Studios,1,350000.0,65.7,4033,24.99,913,0.35
Crematorium of Time,1,350000.0,48.4,1161,0.0,0,0.35
"Creoteam, Toplitz Productions",1,350000.0,88.1,4024,9.99,58,0.35
Crunchy Games,1,350000.0,78.9,1279,0.0,48,0.35
Crystal Shard,1,350000.0,87.6,1363,0.0,5,0.35
Cyan Inc.,1,350000.0,79.8,3857,29.99,5,0.35
冷笑黑妖,1,350000.0,90.7,1854,0.99,0,0.35
GAMES in FLAMES,1,350000.0,60.4,503,0.0,0,0.35
GDT,1,350000.0,47.3,974,0.0,2,0.35
Galaxy Shark Studios,1,350000.0,98.0,6875,0.0,3,0.35
Gamatron AB,1,350000.0,96.2,5822,24.99,268,0.35
致意,1,350000.0,81.9,1048,1.99,0,0.35
 RandomSpin,1,350000.0,78.6,351,0.49,9,0.35
 Spry Fox,1,350000.0,90.1,7998,14.99,114,0.35
the whale husband,1,350000.0,81.6,5633,0.0,2,0.35
DU&I,1,350000.0,97.8,10402,0.0,274,0.35
troy_en,1,350000.0,93.4,12279,5.99,30,0.35
DUT Studio,1,350000.0,91.3,2934,5.99,4,0.35
OddOneGames,1,350000.0,65.2,6692,0.0,0,0.35
Oddshot Games,1,350000.0,84.6,2540,0.0,0,0.35
"Oddworld Inhabitants, Inc.",1,350000.0,85.8,3491,19.99,3,0.35
Omni Systems,1,350000.0,89.6,809,14.99,9,0.35
GDT Limited,1,350000.0,58.5,1047,0.0,4,0.35
Parta Games Oy,1,350000.0,78.5,158,1.99,0,0.35
可布和常常诶,1,350000.0,82.7,1587,5.99,4,0.35
 Wolvesville GmbH & Co. KG ,1,350000.0,81.4,1013,0.0,27,0.35
(Myco) ,1,350000.0,96.4,8143,6.99,289,0.35
星辰重工StellaGames,1,350000.0,87.8,147,0.0,38,0.35
-,1,350000.0,73.4,1602,0.0,0,0.35
02GAMES,1,350000.0,95.1,12103,0.99,3,0.35
无人之境,1,350000.0,80.4,1831,0.0,0,0.35
"Pathea Games, PM Studios, inc.",1,350000.0,93.0,6293,19.99,205,0.35
Panic Art Studios,1,350000.0,83.5,3370,5.99,0,0.35
元气工作室,1,350000.0,64.1,7383,0.0,647,0.35
榭季生,1,350000.0,92.9,4641,0.0,6,0.35
"海南西山居互动娱乐科技有限公司, Gamirror Games",1,350000.0,86.1,3587,1.99,59,0.35
游鲤化龙工作室,1,350000.0,74.2,4632,14.99,276,0.35
"烟水寒工作室, Paras Games",1,350000.0,82.2,2865,16.99,14,0.35
白玉京工作室,1,350000.0,74.3,8374,24.99,170,0.35
"Paradox Interactive, Bandai Namco",1,350000.0,65.0,4633,29.99,1,0.35
Gaijin Entertainment,1,350000.0,63.5,704,9.99,5,0.35
Gaijin Entertainment Corporation,1,350000.0,78.9,2503,9.99,2,0.35
Gaijin Games,1,350000.0,80.6,864,9.99,0,0.35
"Gaijin Games, Choice Provisions",1,350000.0,85.7,3918,9.99,3,0.35
Acute Games,1,350000.0,66.3,643,0.0,16,0.35
Catnip Games,1,350000.0,53.2,3115,0.0,16,0.35
Catos Game,1,350000.0,95.9,3863,3.69,655,0.35
Unbound Creations,1,350000.0,89.4,762,13.99,1,0.35
PUMPKIM,1,350000.0,79.8,10756,2.99,8,0.35
OKJOY,2,300000.0,89.8,4650,14.99,101,0.3
Pixmain,2,300000.0,92.2,6958,13.49,7,0.3
