publisher,game_count,total_owners,avg_positive_ratio,total_reviews,avg_price_eur,peak_ccu,total_owners_M
"2K, Feral Interactive (Mac)",3,7750000.0,74.6,88136,16.66,364,7.75
Atari,11,7725000.0,82.6,54761,11.25,236,7.72
Paradise Project,15,7725000.0,83.2,126646,0.53,106,7.72
Tortuga Team,2,7650000.0,80.5,3602,12.49,1,7.65
"Expansive Worlds, Avalanche Studios",2,7650000.0,58.0,47020,0.0,417,7.65
World Makers,2,7650000.0,69.2,98284,0.0,190,7.65
"PopCap Games, Inc., Electronic Arts",10,7575000.0,96.0,179216,4.99,2656,7.58
Team Cherry,1,7500000.0,97.0,415946,14.99,4912,7.5
VOID Interactive,1,7500000.0,89.2,236196,49.99,4296,7.5
"Activision, Aspyr (Mac)",1,7500000.0,84.3,215026,59.99,5414,7.5
Team Salvato,1,7500000.0,96.5,210717,0.0,427,7.5
Team Psykskallar,1,7500000.0,88.5,74408,0.0,405,7.5
Eagle Dynamics SA,1,7500000.0,85.1,37189,0.0,636,7.5
Dani,1,7500000.0,91.5,152433,0.0,2921,7.5
1047 Games,1,7500000.0,91.6,111740,0.0,185,7.5
poncle,1,7500000.0,98.5,250334,4.99,2966,7.5
RobTop Games,1,7500000.0,93.3,429921,2.49,27850,7.5
"2K, Feral Interactive (Mac), Feral Interactive (Linux)",1,7500000.0,84.7,101701,59.99,3123,7.5
Wube Software LTD.,1,7500000.0,97.0,215209,35.0,16426,7.5
"Crystal Dynamics, Feral Interactive (Mac)",1,7500000.0,96.1,247930,19.99,556,7.5
Fishing Planet LLC,1,7500000.0,86.8,65699,0.0,2781,7.5
"Nimble Neuron, SapStaR Games",1,7500000.0,79.5,65046,0.0,12341,7.5
SgtOkiDoki,1,7500000.0,84.2,143124,14.99,568,7.5
FishSoft LLC,1,7500000.0,53.9,73485,0.0,14950,7.5
Northwood Studios,1,7500000.0,91.4,214309,0.0,4696,7.5
Scopely,1,7500000.0,85.0,128011,0.0,2928,7.5
Edge of Reality,1,7500000.0,87.0,39312,0.0,1,7.5
YAGER,1,7500000.0,63.6,45422,0.0,2,7.5
BeamNG,1,7500000.0,97.4,322278,24.99,15863,7.5
MINTROCKET,1,7500000.0,97.0,129331,19.99,3367,7.5
Blender Foundation,1,7500000.0,96.3,72881,0.0,9640,7.5
Motion Twin,1,7500000.0,97.1,168464,9.99,2559,7.5
Mega Crit,1,7500000.0,97.8,182277,6.24,15038,7.5
Ludeon Studios,1,7500000.0,98.0,210517,34.99,19211,7.5
Mob Entertainment,1,7500000.0,85.0,98914,0.0,588,7.5
Studio MDHR Entertainment Inc.,1,7500000.0,96.3,186835,19.99,2080,7.5
"Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",1,7500000.0,96.2,169201,0.0,294,7.5
"Warner Bros. Interactive Entertainment, Warner Bros. Games",1,7500000.0,92.4,90715,19.99,441,7.5
Warchest Ltd.,1,7500000.0,81.3,57167,0.0,40,7.5
Freejam,1,7500000.0,73.1,118055,0.0,3,7.5
Studio Minus,1,7500000.0,98.6,281763,9.99,4505,7.5
Lever Games,1,7500000.0,89.9,74253,0.0,473,7.5
Kunos Simulazioni,1,7500000.0,92.6,151391,19.99,8961,7.5
KOG,1,7500000.0,60.8,34416,0.0,30,7.5
Good Shepherd Entertainment,16,7425000.0,82.0,98548,21.12,3465,7.42
Hooded Horse,11,7400000.0,85.9,158786,21.63,2590,7.4
Jagex Ltd,5,7250000.0,84.8,84649,8.0,4551,7.25
Chromatic Games,3,7150000.0,78.9,44608,9.99,351,7.15
Private Division,7,7075000.0,70.6,198224,39.99,1844,7.08
"CD PROJEKT RED, 1C-SoftClub",2,7000000.0,89.2,169768,14.99,616,7.0
"SEGA, Feral Interactive",2,7000000.0,78.1,208031,59.99,16842,7.0
Playstack,7,7000000.0,89.7,212751,23.7,17123,7.0
Playdead,2,7000000.0,94.8,125330,1.87,129,7.0
Fellow Traveller,12,6875000.0,89.6,57701,7.53,37,6.88
Offworld,4,6850000.0,75.6,273697,22.46,9116,6.85
Forever Entertainment S. A.,27,6775000.0,74.0,35405,5.4,7,6.78
Remedy Entertainment,4,6650000.0,80.4,109375,18.49,648,6.65
Novalink,4,6650000.0,63.6,54002,0.0,21,6.65
Ubisoft Entertainment,6,6600000.0,72.2,99627,4.45,1213,6.6
Kepler Interactive,6,6600000.0,90.2,165861,15.47,27880,6.6
Alawar,12,6550000.0,83.4,73836,8.3,174,6.55
astragon Entertainment,12,6550000.0,74.0,74568,22.07,318,6.55
Chucklefish,10,6450000.0,76.1,192707,14.89,894,6.45
Firefly Studios,8,6300000.0,78.1,72807,21.36,746,6.3
Kalypso Media,12,6300000.0,75.1,76980,28.99,575,6.3
Aeria Games,4,6100000.0,76.5,16640,0.0,1,6.1
Quantic Dream,4,6100000.0,87.4,223842,22.49,2344,6.1
Conglomerate 5,28,6050000.0,64.4,12049,1.33,401,6.05
Secret Mode,9,6025000.0,87.3,156232,17.77,1756,6.02
Shiro Games,5,5850000.0,85.3,106172,19.79,1632,5.85
Sekai Project,15,5775000.0,92.1,107949,10.19,57,5.78
Kitfox Games,8,5750000.0,81.7,51201,20.36,915,5.75
NeocoreGames,8,5700000.0,77.0,50688,28.74,231,5.7
SNK CORPORATION,13,5700000.0,82.5,53717,14.68,199,5.7
bilibili,7,5550000.0,79.3,75699,13.85,600,5.55
